Tweet,Date Created,User Name,Number of Likes,Source of Tweet
Amazing goal by Messi! What a fantastic World Cup match! ⚽🎉,2022-11-20 00:00:00,user_0,100,Twitter for iPhone
Terrible refereeing decisions in the game today 😠,2022-11-20 01:00:00,user_1,50,Twitter for iPhone
The stadium atmosphere is electric tonight!,2022-11-20 02:00:00,user_2,200,Twitter for iPhone
Disappointing performance from our team...,2022-11-20 03:00:00,user_3,30,Twitter for iPhone
GOAL! Beautiful football! World Cup is incredible!,2022-11-20 04:00:00,user_4,150,Twitter for iPhone
VAR is ruining the spirit of the game,2022-11-20 05:00:00,user_5,40,Twitter for iPhone
Incredible sportsmanship shown by players 👏,2022-11-20 06:00:00,user_6,180,Twitter for iPhone
Poor organization of this World Cup,2022-11-20 07:00:00,user_7,25,Twitter for iPhone
Best tournament ever! Love the World Cup!,2022-11-20 08:00:00,user_8,220,Twitter for iPhone
Controversial penalty decision,2022-11-20 09:00:00,user_9,35,Twitter for iPhone
What a stunning free kick! Amazing technique!,2022-11-20 10:00:00,user_10,120,Twitter for Android
The referee should be investigated for this decision,2022-11-20 11:00:00,user_11,45,Twitter for Android
Fantastic crowd support in the stadium tonight,2022-11-20 12:00:00,user_12,190,Twitter for Android
Our team needs to improve their defense,2022-11-20 13:00:00,user_13,28,Twitter for Android
Historic victory for the underdogs!,2022-11-20 14:00:00,user_14,210,Twitter for Android
Another boring 0-0 draw in the tournament,2022-11-20 15:00:00,user_15,32,Twitter for Android
The opening ceremony was spectacular!,2022-11-20 16:00:00,user_16,170,Twitter for Android
Too many fouls ruining the beautiful game,2022-11-20 17:00:00,user_17,38,Twitter for Android
Young talents shining in this World Cup 🌟,2022-11-20 18:00:00,user_18,230,Twitter for Android
Questionable team selection by the coach,2022-11-20 19:00:00,user_19,42,Twitter for Android
