text,date,user
What an amazing goal by Messi! Absolutely brilliant! 🐐,2022-12-01,messi_fan
"Terrible refereeing in today match, completely unfair!",2022-12-01,ref_critic
The World Cup atmosphere is electric! Best tournament ever!,2022-12-02,tournament_lover
Disappointing performance from our team today,2022-12-02,disappointed_fan
Incredible save by the goalkeeper! World class!,2022-12-03,gk_appreciator
"Boring match, nothing exciting happened",2022-12-03,bored_viewer
The stadium looks fantastic! What a venue!,2022-12-04,stadium_fan
"Poor sportsmanship from that player, very disappointing",2022-12-04,fairplay_advocate
What a fantastic tournament organization! Perfect!,2022-12-05,organizer_fan
"VAR ruined the game, terrible technology",2022-12-05,tech_critic
Argentina played beautifully tonight!,2022-12-06,argentina_supporter
"France deserved to win, better strategy",2022-12-06,france_fan
The final was absolutely epic! Best match ever!,2022-12-07,final_enthusiast
Penalty shootout was nerve-wracking but fair,2022-12-07,neutral_viewer
Mbappe hat-trick was legendary! What a player!,2022-12-08,mbappe_admirer
